BIOGUIDE_ID,OFFICE,PROGRAM,CATEGORY,YTD,AMOUNT
D000096,2020 HON. DANNY K. DAVIS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,956212.84,328821.78
D000096,2020 HON. DANNY K. DAVIS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,956212.84,328821.78
D000096,2020 HON. DANNY K. DAVIS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,12052.78,11236.11
D000096,2020 HON. DANNY K. DAVIS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,12052.78,11236.11
D000096,2020 HON. DANNY K. DAVIS,INTERN ALLOWANCES,OFFICE TOTALS:,12052.78,11236.11
D000619,2020 HON. RODNEY DAVIS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,61483.85,16645.32
D000619,2020 HON. RODNEY DAVIS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,636657.29,213133.38
D000619,2020 HON. RODNEY DAVIS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,22697.66,9742.25
D000619,2020 HON. RODNEY DAVIS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,50688.33,12420.13
D000619,2020 HON. RODNEY DAVIS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,94629.42,57078.08
D000619,2020 HON. RODNEY DAVIS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,647.71,341.96
D000619,2020 HON. RODNEY DAVIS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,10105.87,3875.77
D000619,2020 HON. RODNEY DAVIS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2931.5,1188.5
D000619,2020 HON. RODNEY DAVIS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,879841.63,314425.39
D000619,2020 HON. RODNEY DAVIS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,879841.63,314425.39
D000619,2020 HON. RODNEY DAVIS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,4320,0
D000619,2020 HON. RODNEY DAVIS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,4320,0
D000619,2020 HON. RODNEY DAVIS,INTERN ALLOWANCES,OFFICE TOTALS:,4320,0
D000598,2020 HON. SUSAN A. DAVIS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,220.34,83.43
D000598,2020 HON. SUSAN A. DAVIS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,828508.17,308545.49
D000598,2020 HON. SUSAN A. DAVIS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,15959.78,5685.16
D000598,2020 HON. SUSAN A. DAVIS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,75172.02,24942.9
D000598,2020 HON. SUSAN A. DAVIS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,48.35,0
D000598,2020 HON. SUSAN A. DAVIS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,51585.52,28180.72
D000598,2020 HON. SUSAN A. DAVIS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,19767.2,3116.48
D000598,2020 HON. SUSAN A. DAVIS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5613.89,1340.72
D000598,2020 HON. SUSAN A. DAVIS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,996875.27,371894.9
D000598,2020 HON. SUSAN A. DAVIS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,996875.27,371894.9
D000598,2020 HON. SUSAN A. DAVIS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,22630,8370
D000598,2020 HON. SUSAN A. DAVIS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,22630,8370
D000598,2020 HON. SUSAN A. DAVIS,INTERN ALLOWANCES,OFFICE TOTALS:,22630,8370
D000631,2020 HON. MADELEINE DEAN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,26537.06,243.95
D000631,2020 HON. MADELEINE DEAN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,676469.16,233145.51
D000631,2020 HON. MADELEINE DEAN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,5029.37,0
D000631,2020 HON. MADELEINE DEAN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,29233.89,14008.38
D000631,2020 HON. MADELEINE DEAN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,54320.21,26952.8
D000631,2020 HON. MADELEINE DEAN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,3348,2550
D000631,2020 HON. MADELEINE DEAN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,17071.67,10116.64
D000631,2020 HON. MADELEINE DEAN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,6728.44,2149.16
D000631,2020 HON. MADELEINE DEAN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,818737.8,289166.44
D000631,2020 HON. MADELEINE DEAN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,818737.8,289166.44
D000631,2020 HON. MADELEINE DEAN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,13716.92,6144.44
D000631,2020 HON. MADELEINE DEAN,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,13716.92,6144.44
D000631,2020 HON. MADELEINE DEAN,INTERN ALLOWANCES,OFFICE TOTALS:,13716.92,6144.44
D000191,2020 HON. PETER A. DEFAZIO,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,50144.97,49696.11
D000191,2020 HON. PETER A. DEFAZIO,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,766225.05,269460.41
D000191,2020 HON. PETER A. DEFAZIO,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,34191.06,16280.02
D000191,2020 HON. PETER A. DEFAZIO,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,88569.42,32080.57
D000191,2020 HON. PETER A. DEFAZIO,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,54314.9,53973.9
D000191,2020 HON. PETER A. DEFAZIO,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,4915.32,4151.11
D000191,2020 HON. PETER A. DEFAZIO,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4634.39,2866.26
D000191,2020 HON. PETER A. DEFAZIO,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,8526.43,2729
D000191,2020 HON. PETER A. DEFAZIO,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1011521.54,431237.38
D000191,2020 HON. PETER A. DEFAZIO,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1011521.54,431237.38
D000191,2020 HON. PETER A. DEFAZIO,INTERN ALLOWANCES,PERSONNEL COMPENSATION,12218.62,5403.62
D000191,2020 HON. PETER A. DEFAZIO,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,12218.62,5403.62
D000191,2020 HON. PETER A. DEFAZIO,INTERN ALLOWANCES,OFFICE TOTALS:,12218.62,5403.62
D000197,2020 HON. DIANA DEGETTE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2827.53,38.55
D000197,2020 HON. DIANA DEGETTE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,873738.19,284984.77
D000197,2020 HON. DIANA DEGETTE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,16150.66,1899.16
D000197,2020 HON. DIANA DEGETTE,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,79569.99,21598.24
D000197,2020 HON. DIANA DEGETTE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,13096.04,0
D000197,2020 HON. DIANA DEGETTE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,28326.25,10392.25
D000197,2020 HON. DIANA DEGETTE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,9059.99,1643.34
D000197,2020 HON. DIANA DEGETTE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3173.99,975
D000197,2020 HON. DIANA DEGETTE,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1025942.64,321531.31
D000197,2020 HON. DIANA DEGETTE,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1025942.64,321531.31
D000197,2020 HON. DIANA DEGETTE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,6200,0
D000197,2020 HON. DIANA DEGETTE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,6200,0
D000197,2020 HON. DIANA DEGETTE,INTERN ALLOWANCES,OFFICE TOTALS:,6200,0
D000216,2020 HON. ROSA L. DELAURO,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,495.24,86.68
D000216,2020 HON. ROSA L. DELAURO,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,854433.44,303408.49
D000216,2020 HON. ROSA L. DELAURO,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,14266.68,364.55
D000216,2020 HON. ROSA L. DELAURO,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,71141.41,25334.98
D000216,2020 HON. ROSA L. DELAURO,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,801.86,54.56
D000216,2020 HON. ROSA L. DELAURO,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,24400.13,5685
D000216,2020 HON. ROSA L. DELAURO,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,12719.17,2293.89
D000216,2020 HON. ROSA L. DELAURO,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3224.07,1874.07
D000216,2020 HON. ROSA L. DELAURO,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,981482,339102.22
D000216,2020 HON. ROSA L. DELAURO,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,981482,339102.22
D000216,2020 HON. ROSA L. DELAURO,INTERN ALLOWANCES,PERSONNEL COMPENSATION,3758.35,0
D000216,2020 HON. ROSA L. DELAURO,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,3758.35,0
D000216,2020 HON. ROSA L. DELAURO,INTERN ALLOWANCES,OFFICE TOTALS:,3758.35,0
D000617,2020 HON. SUZAN K. DELBENE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,804.12,-49.81
D000617,2020 HON. SUZAN K. DELBENE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,808866.65,274611.11
D000617,2020 HON. SUZAN K. DELBENE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,10436.24,940.78
D000617,2020 HON. SUZAN K. DELBENE,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,46488.09,18976.75
D000617,2020 HON. SUZAN K. DELBENE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2641.12,0
D000617,2020 HON. SUZAN K. DELBENE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2694.63,822.32
D000617,2020 HON. SUZAN K. DELBENE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,6666.72,1971.72
D000617,2020 HON. SUZAN K. DELBENE,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,878597.57,297272.87
D000617,2020 HON. SUZAN K. DELBENE,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,878597.57,297272.87
D000617,2020 HON. SUZAN K. DELBENE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,5125,2400
D000617,2020 HON. SUZAN K. DELBENE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,5125,2400
D000617,2020 HON. SUZAN K. DELBENE,INTERN ALLOWANCES,OFFICE TOTALS:,5125,2400
D000630,2020 HON. ANTONIO DELGADO,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,87468.67,158.2
D000630,2020 HON. ANTONIO DELGADO,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,723818.87,226449.99
D000630,2020 HON. ANTONIO DELGADO,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,18350.27,4532.79
D000630,2020 HON. ANTONIO DELGADO,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,84784.65,27753.94
D000630,2020 HON. ANTONIO DELGADO,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,119988.65,4062.27
D000630,2020 HON. ANTONIO DELGADO,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,31830,10350
D000630,2020 HON. ANTONIO DELGADO,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3949.78,825.61
D000630,2020 HON. ANTONIO DELGADO,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,934.47,311.49
D000630,2020 HON. ANTONIO DELGADO,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1071125.36,274444.29
D000630,2020 HON. ANTONIO DELGADO,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1071125.36,274444.29
D000630,2020 HON. ANTONIO DELGADO,INTERN ALLOWANCES,PERSONNEL COMPENSATION,6666.67,0
D000630,2020 HON. ANTONIO DELGADO,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,6666.67,0
D000630,2020 HON. ANTONIO DELGADO,INTERN ALLOWANCES,OFFICE TOTALS:,6666.67,0
D000627,2020 HON. VAL BUTLER DEMINGS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,30893.37,13961.91
D000627,2020 HON. VAL BUTLER DEMINGS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,687454.42,231174.99
D000627,2020 HON. VAL BUTLER DEMINGS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,29011.73,10812.55
D000627,2020 HON. VAL BUTLER DEMINGS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,36198.95,17079.25
D000627,2020 HON. VAL BUTLER DEMINGS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,37048.74,9342.64
D000627,2020 HON. VAL BUTLER DEMINGS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,21963.75,5769
D000627,2020 HON. VAL BUTLER DEMINGS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8034.1,3673.7
D000627,2020 HON. VAL BUTLER DEMINGS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2246.99,744
D000627,2020 HON. VAL BUTLER DEMINGS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,852852.05,292558.04
D000627,2020 HON. VAL BUTLER DEMINGS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,852852.05,292558.04
D000623,2020 HON. MARK DESAULNIER,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,30366.35,28742.69
D000623,2020 HON. MARK DESAULNIER,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,621997.93,202600.5
D000623,2020 HON. MARK DESAULNIER,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,7082.12,403.59
D000623,2020 HON. MARK DESAULNIER,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,64359.76,32891.68
D000623,2020 HON. MARK DESAULNIER,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,53103.23,46491.94
D000623,2020 HON. MARK DESAULNIER,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5119.88,2100
D000623,2020 HON. MARK DESAULNIER,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,15225.12,13632.63
D000623,2020 HON. MARK DESAULNIER,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,6567,3892
D000623,2020 HON. MARK DESAULNIER,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,803821.39,330755.03
D000623,2020 HON. MARK DESAULNIER,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,803821.39,330755.03
D000623,2020 HON. MARK DESAULNIER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,8435.55,1421.33
D000623,2020 HON. MARK DESAULNIER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,8435.55,1421.33
D000623,2020 HON. MARK DESAULNIER,INTERN ALLOWANCES,OFFICE TOTALS:,8435.55,1421.33
D000616,2020 HON. SCOTT DESJARLAIS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,23042.32,298.96
D000616,2020 HON. SCOTT DESJARLAIS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,571455.6,178402.8
D000616,2020 HON. SCOTT DESJARLAIS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,30375.28,13918.26
D000616,2020 HON. SCOTT DESJARLAIS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,70257.89,26245.12
D000616,2020 HON. SCOTT DESJARLAIS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,18332.84,0
D000616,2020 HON. SCOTT DESJARLAIS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,19793.3,7020.88
D000616,2020 HON. SCOTT DESJARLAIS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,9301.94,2875.76
D000616,2020 HON. SCOTT DESJARLAIS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2693.25,897.75
D000616,2020 HON. SCOTT DESJARLAIS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,745252.42,229659.53
D000616,2020 HON. SCOTT DESJARLAIS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,745252.42,229659.53
D000616,2020 HON. SCOTT DESJARLAIS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,1950,716.67
D000616,2020 HON. SCOTT DESJARLAIS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,1950,716.67
D000616,2020 HON. SCOTT DESJARLAIS,INTERN ALLOWANCES,OFFICE TOTALS:,1950,716.67
D000610,2020 HON. THEODORE E. DEUTCH,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,480.3,16.78
D000610,2020 HON. THEODORE E. DEUTCH,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,953061.02,308124.96
D000610,2020 HON. THEODORE E. DEUTCH,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,10544.81,2198.44
D000610,2020 HON. THEODORE E. DEUTCH,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,60340.48,15790.77
D000610,2020 HON. THEODORE E. DEUTCH,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,6232.53,2491.94
D000610,2020 HON. THEODORE E. DEUTCH,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,19522.5,6555
D000610,2020 HON. THEODORE E. DEUTCH,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,19603.24,2832.7
D000610,2020 HON. THEODORE E. DEUTCH,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1952.84,510
D000610,2020 HON. THEODORE E. DEUTCH,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1071737.72,338520.59
D000610,2020 HON. THEODORE E. DEUTCH,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1071737.72,338520.59
D000610,2020 HON. THEODORE E. DEUTCH,INTERN ALLOWANCES,PERSONNEL COMPENSATION,9669.11,2731.28
D000610,2020 HON. THEODORE E. DEUTCH,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,9669.11,2731.28
D000610,2020 HON. THEODORE E. DEUTCH,INTERN ALLOWANCES,OFFICE TOTALS:,9669.11,2731.28
D000600,2020 HON. MARIO DIAZ-BALART,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,14078.06,6395.98
D000600,2020 HON. MARIO DIAZ-BALART,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,711298.05,267134.17
D000600,2020 HON. MARIO DIAZ-BALART,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,33166.04,7891.67
D000600,2020 HON. MARIO DIAZ-BALART,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,122203.6,37750.78
D000600,2020 HON. MARIO DIAZ-BALART,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,7724.86,7542.26
D000600,2020 HON. MARIO DIAZ-BALART,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,31614.67,13188.3
D000600,2020 HON. MARIO DIAZ-BALART,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,7372.41,2910.33
D000600,2020 HON. MARIO DIAZ-BALART,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3489.68,1662.72
D000600,2020 HON. MARIO DIAZ-BALART,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,930947.37,344476.21
D000600,2020 HON. MARIO DIAZ-BALART,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,930947.37,344476.21
D000600,2020 HON. MARIO DIAZ-BALART,INTERN ALLOWANCES,PERSONNEL COMPENSATION,7914.3,1300
D000600,2020 HON. MARIO DIAZ-BALART,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,7914.3,1300
D000600,2020 HON. MARIO DIAZ-BALART,INTERN ALLOWANCES,OFFICE TOTALS:,7914.3,1300
D000624,2020 HON. DEBBIE DINGELL,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,360.13,20.83
D000624,2020 HON. DEBBIE DINGELL,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,739977.94,246888.76
D000624,2020 HON. DEBBIE DINGELL,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,7081.28,1471.34
D000624,2020 HON. DEBBIE DINGELL,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,114499.91,31414.54
D000624,2020 HON. DEBBIE DINGELL,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,3659.52,399.5
D000624,2020 HON. DEBBIE DINGELL,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,160,80
D000624,2020 HON. DEBBIE DINGELL,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,6048.73,-5478.52
D000624,2020 HON. DEBBIE DINGELL,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,14869.48,8029.45
D000624,2020 HON. DEBBIE DINGELL,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,886656.99,282825.9
D000624,2020 HON. DEBBIE DINGELL,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,886656.99,282825.9
D000624,2020 HON. DEBBIE DINGELL,INTERN ALLOWANCES,PERSONNEL COMPENSATION,6134.11,1440
D000624,2020 HON. DEBBIE DINGELL,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,6134.11,1440
D000624,2020 HON. DEBBIE DINGELL,INTERN ALLOWANCES,OFFICE TOTALS:,6134.11,1440
D000399,2020 HON. LLOYD DOGGETT,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,27353.51,17668.88
D000399,2020 HON. LLOYD DOGGETT,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,728278.68,240981.95
D000399,2020 HON. LLOYD DOGGETT,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,7558.53,946.66
D000399,2020 HON. LLOYD DOGGETT,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,118788.6,41416.29
D000399,2020 HON. LLOYD DOGGETT,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,18646.13,11838.17
D000399,2020 HON. LLOYD DOGGETT,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,41823.05,14480.35
D000399,2020 HON. LLOYD DOGGETT,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,17672.07,3753.14
D000399,2020 HON. LLOYD DOGGETT,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,17827.48,970.94
D000399,2020 HON. LLOYD DOGGETT,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,977948.05,332056.38
D000399,2020 HON. LLOYD DOGGETT,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,977948.05,332056.38
D000399,2020 HON. LLOYD DOGGETT,INTERN ALLOWANCES,PERSONNEL COMPENSATION,18308.33,5716.67
D000399,2020 HON. LLOYD DOGGETT,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,18308.33,5716.67
D000399,2020 HON. LLOYD DOGGETT,INTERN ALLOWANCES,OFFICE TOTALS:,18308.33,5716.67
D000482,2020 HON. MICHAEL F. DOYLE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1041.24,157.7
D000482,2020 HON. MICHAEL F. DOYLE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,791717.04,257775
D000482,2020 HON. MICHAEL F. DOYLE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,5546.86,1414.7
D000482,2020 HON. MICHAEL F. DOYLE,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,88612.11,30730.22
D000482,2020 HON. MICHAEL F. DOYLE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,3439.89,1079.5
D000482,2020 HON. MICHAEL F. DOYLE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,30936,10287
D000482,2020 HON. MICHAEL F. DOYLE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,6553.98,1306.61
D000482,2020 HON. MICHAEL F. DOYLE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,16637.25,1621.83
D000482,2020 HON. MICHAEL F. DOYLE,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,944484.37,304372.56
D000482,2020 HON. MICHAEL F. DOYLE,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,944484.37,304372.56
D000482,2020 HON. MICHAEL F. DOYLE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,3366.66,0
D000482,2020 HON. MICHAEL F. DOYLE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,3366.66,0
D000482,2020 HON. MICHAEL F. DOYLE,INTERN ALLOWANCES,OFFICE TOTALS:,3366.66,0
D000615,2020 HON. JEFF DUNCAN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,808.31,405.47
